Species,Family,Order,Family_bridge,Order_bridge,Island_Endemicity,Flight_Ability,log_Beak.Length_Culmen,log_Beak.Width,log_Beak.Depth,log_Tarsus.Length,log_Wing.Length,log_Kipps.Distance,log_Tail.Length,log_Mass,Diet_Simple_Expected,seabird,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APG,APP,APA,APL,APS,APD,FAE,FGL,FGR,NAE,NGL,SEL,SGR,PEL,PGR,PAG,PAS,PAD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR,In,Ap,Vt,Ne,Fr,Se,Pa,Pt,dn.cat,fd.cat
Cygnus_equitum,Anatidae,Anseriformes,Anatidae,Anseriformes,continental,1.0,4.289088639014612,3.1730412885244013,2.991222118076105,4.418599614904722,6.118493595236523,5.283508250894329,4.913536849632705,8.532899203737855,Herbivore,no,-210.11862258770557,-124.94862214064838,-3.6308124780539264,3.0817687035595127,-6.160364775867416,0.6314363389256488,-0.5263335875727194,1.020020092892479,1.006329116598656,-32.82575861320107,-44.03319815242908,0.5473187384545604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cygnus_falconeri,Anatidae,Anseriformes,Anatidae,Anseriformes,continental,0.0,4.54159120434522,3.3782698770184507,3.233173129569025,4.735584224710024,6.388998284889866,5.449062253240462,5.189283445523902,9.176399854024085,Herbivore,no,-210.11826826060013,-124.94796852526531,-3.6307544983384337,3.081688904388494,-6.160150424378253,0.6314126266119966,-0.5263093746885666,1.0199470563032367,1.006391710475369,-32.824783780908064,-44.03046716489654,0.5472522802506568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cygnus_sumnerensis,Anatidae,Anseriformes,Anatidae,Anseriformes,insular,0.5,4.411585436915426,3.2744997286161976,3.1095072878128356,4.562367063662782,6.177363032392279,5.275611529012399,4.971409247595418,8.877500530213693,Herbivore,no,-210.1076488494221,-124.92837940237109,-3.6290168655178765,3.079297412155634,-6.1537267152632475,0.6307020193980785,-0.5255837867806158,1.0177585891609329,1.0082642632202043,-32.79552588063205,-43.94858743979182,0.5452605143712839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendragapus_gilli,Phasianidae,Galliformes,Phasianidae,Galliformes,continental,1.0,3.3145495749364833,2.2793164660546914,2.355177543113216,3.7711504465467307,5.436643496028323,4.371471120734365,4.915005063081005,6.799100454152625,Herbivore,no,-212.91401999644464,-130.24919352765684,-4.1462632261822225,3.8636133617657475,-8.477110835672226,0.8962146758044882,-0.8267118757090328,2.288815897385902,-5.933690261418005,47.79411886286926,13.860329704742165,0.2939963852197845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrocygna_sp_Aitutaki,Anatidae,Anseriformes,Anatidae,Anseriformes,insular,1.0,3.9569963710708773,2.907447358686419,2.8027541365715076,3.9976500913955832,5.493637409127648,4.319353040145823,4.299052551380625,7.047517221357296,Omnivore,no,-209.3525089078005,-123.53533835276788,-3.5054498606247173,2.9092846775320576,-5.697299270166645,0.5802214839157691,-0.4740825972183621,0.8630974394381894,1.1275617260095996,-30.504094435169726,-37.912175994133584,0.4011925080462147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendroscansor_decurvirostris,Acanthisittidae,Passeriformes,Acanthisittidae,Passeriformes,insular,0.0,2.7700855920216627,1.199964782928397,1.2178757094949273,3.1675825304806504,3.976873977747762,2.2126603854660587,3.4173987610001633,3.4011973816621555,Invertivore,no,-24.115732727728307,13.437911599049418,-7.522026728987389,-1.5423502231445259,0.584897446185384,0.8730424240211653,4.187720947865134,-1.0405626232887522,1.4805229785140719,-2.1481688818686853,2.272505287543837,2.1367755908223605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diaphorapteryx_hawkinsi,Rallidae,Gruiformes,Rallidae,Gruiformes,insular,0.0,4.385271364838771,2.330200260027019,2.834389123145228,4.157945143631696,5.2921986855398595,3.3645333972905638,4.6930894840259745,7.600902459542082,Herbivore,no,-54.27322746507325,57.88735830152113,22.74910574692921,58.53493408543987,-13.445424281196937,-3.914593338912639,-5.719035349079578,5.627140620333776,-4.0506604993551045,1.1222033575546106,-2.0595894099542016,-37.04614955252849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didunculus_placopedetes,Columbidae,Columbiformes,Columbidae,Columbiformes,insular,1.0,3.326473835466219,2.1471001901536506,2.418588768750352,3.581294243433999,5.2552010754744085,4.019621016026164,4.679906532102109,5.991464547107982,Herbivore,no,-68.08317919221848,28.76047579726514,9.800059824941396,-8.872831387897506,77.46003924711238,-36.35833260835228,-11.22627593568964,5.876460055728524,-2.840523911182501,2.159626890460503,-1.9872613195981277,-2.3570204632535785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinornis_novaezealandiae,Dinornithidae,Dinornithiformes,Tinamidae,Tinamiformes,insular,0.0,4.763284429081783,3.8124236402053913,3.655839600035736,5.701513235212158,-2.3025850929940455,-2.3025850929940455,5.196450740144466,11.918390573078392,Herbivore,no,-206.28642082153976,-108.94309674678892,-1.7446758536000992,-0.3178618096248077,3.897003405816725,-0.48403336941719405,0.6617333804455938,-3.6599309614482087,13.588589561313334,-76.60645348292655,86.03450961105636,-11.02953465906525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinornis_robustus,Dinornithidae,Dinornithiformes,Tinamidae,Tinamiformes,insular,0.0,4.908011770197695,3.9330014118133376,3.7768903314366495,5.927352601640738,-2.3025850929940455,-2.3025850929940455,5.37495428108674,12.380025952653611,Herbivore,no,-206.28642082155315,-108.94309674681065,-1.7446758536011295,-0.31786180962510613,3.8970034058214216,-0.4840333694178158,0.6617333804465992,-3.659930961455627,13.588589561351707,-76.60645348316301,86.03450961135289,-11.02953465911599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
