species,Island_Endemicity,Flight_Ability
Salvadorina_waigiuensis,no,1
Sarkidiornis_melanotos,no,1
Somateria_fischeri,no,1
Somateria_mollissima,no,1
Somateria_spectabilis,no,1
Speculanas_specularis,no,1
Stictonetta_naevosa,no,1
Tachyeres_brachypterus,yes,0
Tachyeres_leucocephalus,no,0
Tachyeres_patachonicus,no,1
Tachyeres_pteneres,no,0
Tadorna_cana,no,1
Tadorna_ferruginea,no,1
Tadorna_radjah,no,1
Tadorna_tadorna,no,1
Tadorna_tadornoides,no,1
Tadorna_variegata,no,1
Thalassornis_leuconotus,no,1
Anhima_cornuta,no,1
Chauna_chavaria,no,1
Chauna_torquata,no,1
Anseranas_semipalmata,no,1
Aegotheles_albertisi,no,1
Aegotheles_archboldi,no,1
Aegotheles_bennettii,no,1
Aegotheles_crinifrons,yes,1
Aegotheles_cristatus,no,1
Aegotheles_insignis,no,1
Aegotheles_savesi,yes,1
Aegotheles_tatei,no,1
Aegotheles_wallacii,no,1
Aeronautes_andecolus,no,1
Aeronautes_montivagus,no,1
Aeronautes_saxatalis,no,1
Apus_acuticauda,no,1
Apus_affinis,no,1
Apus_alexandri,yes,1
Apus_apus,no,1
Apus_balstoni,yes,1
Apus_barbatus,no,1
Apus_batesi,no,1
Apus_berliozi,no,1
Apus_bradfieldi,no,1
Apus_caffer,no,1
Apus_horus,no,1
Apus_niansae,no,1
Apus_nipalensis,no,1
Apus_pacificus,no,1
Apus_pallidus,no,1
Apus_sladeniae,no,1
Apus_toulsoni,no,1
Apus_unicolor,no,1
Chaetura_brachyura,no,1
Chaetura_chapmani,no,1
Chaetura_cinereiventris,no,1
Chaetura_egregia,no,1
Chaetura_fumosa,no,1
Chaetura_martinica,yes,1
Chaetura_meridionalis,no,1
Chaetura_pelagica,no,1
Chaetura_spinicaudus,no,1
Chaetura_vauxi,no,1
Chaetura_viridipennis,no,1
Collocalia_amelis,no,1
Collocalia_bartschi,yes,1
Collocalia_brevirostris,no,1
Collocalia_elaphra,yes,1
Collocalia_esculenta,no,1
Collocalia_francica,yes,1
Collocalia_fuciphaga,no,1
Collocalia_germani,no,1
Collocalia_hirundinacea,no,1
Collocalia_infuscata,yes,1
Collocalia_inquieta,yes,1
Collocalia_leucophaea,yes,1
Collocalia_linchi,no,1
Collocalia_maxima,no,1
Collocalia_mearnsi,no,1
Collocalia_nuditarsus,no,1
Collocalia_ocista,yes,1
Collocalia_orientalis,yes,1
Collocalia_palawanensis,no,1
Collocalia_papuensis,no,1
Collocalia_pelewensis,yes,1
Collocalia_rogersi,no,1
Collocalia_salangana,no,1
Collocalia_sawtelli,yes,1
Collocalia_spodiopygia,no,1
Collocalia_terraereginae,no,1
Collocalia_troglodytes,no,1
Collocalia_unicolor,no,1
Collocalia_vanikorensis,no,1
Collocalia_vulcanorum,no,1
Collocalia_whiteheadi,yes,1
Cypseloides_cherriei,no,1
Cypseloides_cryptus,no,1
Cypseloides_fumigatus,no,1
Cypseloides_lemosi,no,1
Cypseloides_niger,no,1
Cypseloides_rothschildi,no,1
Cypseloides_senex,no,1
Cypseloides_storeri,no,1
Cypsiurus_balasiensis,no,1
Cypsiurus_parvus,no,1
Hirundapus_caudacutus,no,1
Hirundapus_celebensis,yes,1
Hirundapus_cochinchinensis,no,1
Hirundapus_giganteus,no,1
Hydrochous_gigas,no,1
Mearnsia_novaeguineae,no,1
Mearnsia_picina,yes,1
Neafrapus_boehmi,no,1
Neafrapus_cassini,no,1
Panyptila_cayennensis,no,1
Panyptila_sanctihieronymi,no,1
Rhaphidura_leucopygialis,no,1
Rhaphidura_sabini,no,1
Schoutedenapus_myoptilus,no,1
Schoutedenapus_schoutedeni,no,1
Streptoprocne_biscutata,no,1
Streptoprocne_phelpsi,no,1
Streptoprocne_rutila,no,1
Streptoprocne_semicollaris,no,1
Streptoprocne_zonaris,no,1
Tachornis_furcata,no,1
Tachornis_phoenicobia,yes,1
Tachornis_squamata,no,1
Tachymarptis_aequatorialis,no,1
Tachymarptis_melba,no,1
Telacanthura_melanopygia,no,1
Telacanthura_ussheri,no,1
Zoonavena_grandidieri,yes,1
Zoonavena_sylvatica,no,1
Zoonavena_thomensis,yes,1
Hemiprocne_comata,no,1
Hemiprocne_coronata,no,1
Hemiprocne_longipennis,no,1
Hemiprocne_mystacea,no,1
Abeillia_abeillei,no,1
Adelomyia_melanogenys,no,1
Aglaeactis_aliciae,no,1
Aglaeactis_castelnaudii,no,1
Aglaeactis_cupripennis,no,1
Aglaeactis_pamela,no,1
Aglaiocercus_berlepschi,no,1
Aglaiocercus_coelestis,no,1
Aglaiocercus_kingi,no,1
Amazilia_amabilis,no,1
Amazilia_amazilia,no,1
Amazilia_beryllina,no,1
Amazilia_boucardi,no,1
Amazilia_brevirostris,no,1
Amazilia_candida,no,1
Amazilia_castaneiventris,no,1
Amazilia_chionogaster,no,1
Amazilia_cyanifrons,no,1
Amazilia_cyanocephala,no,1
Amazilia_cyanura,no,1
Amazilia_decora,no,1
Amazilia_edward,no,1
Amazilia_fimbriata,no,1
Amazilia_franciae,no,1
Amazilia_lactea,no,1
Amazilia_leucogaster,no,1
Amazilia_luciae,no,1
Amazilia_rosenbergi,no,1
Amazilia_rutila,no,1
Amazilia_saucerrottei,no,1
Amazilia_tobaci,no,1
Amazilia_tzacatl,no,1
Amazilia_versicolor,no,1
Amazilia_violiceps,no,1
Amazilia_viridicauda,no,1
Amazilia_viridifrons,no,1
Amazilia_viridigaster,no,1
Amazilia_yucatanensis,no,1
Androdon_aequatorialis,no,1
Anopetia_gounellei,no,1
Anthocephala_floriceps,no,1
Anthracothorax_dominicus,yes,1
Anthracothorax_mango,yes,1
Anthracothorax_nigricollis,no,1
Anthracothorax_prevostii,no,1
Anthracothorax_veraguensis,no,1
Anthracothorax_viridigula,no,1
Anthracothorax_viridis,yes,1
Aphantochroa_cirrochloris,no,1
Archilochus_alexandri,no,1
Archilochus_colubris,no,1
Atthis_ellioti,no,1
Atthis_heloisa,no,1
Augastes_lumachella,no,1
Augastes_scutatus,no,1
Avocettula_recurvirostris,no,1
Boissonneaua_flavescens,no,1
Boissonneaua_jardini,no,1
Boissonneaua_matthewsii,no,1
Calliphlox_amethystina,no,1
Calliphlox_bryantae,no,1
Calliphlox_evelynae,yes,1
Calliphlox_mitchellii,no,1
Calothorax_lucifer,no,1
Calothorax_pulcher,no,1
Calypte_anna,no,1
Calypte_costae,no,1
Campylopterus_curvipennis,no,1
Campylopterus_duidae,no,1
Campylopterus_ensipennis,no,1
Campylopterus_excellens,no,1
Campylopterus_falcatus,no,1
Campylopterus_hemileucurus,no,1
Campylopterus_hyperythrus,no,1
Campylopterus_largipennis,no,1
Campylopterus_phainopeplus,no,1
Campylopterus_rufus,no,1
Campylopterus_villaviscensio,no,1
Chaetocercus_astreans,no,1
Chaetocercus_berlepschi,no,1
Chaetocercus_bombus,no,1
Chaetocercus_heliodor,no,1
Chaetocercus_jourdanii,no,1
Chaetocercus_mulsant,no,1
Chalcostigma_herrani,no,1
Chalcostigma_heteropogon,no,1
Chalcostigma_olivaceum,no,1
Chalcostigma_ruficeps,no,1
Chalcostigma_stanleyi,no,1
Chalybura_buffonii,no,1
Chalybura_urochrysia,no,1
Chlorestes_notata,no,1
Chlorostilbon_alice,no,1
Chlorostilbon_assimilis,no,1
Chlorostilbon_auriceps,no,1
Chlorostilbon_canivetii,no,1
Chlorostilbon_forficatus,no,1
Chlorostilbon_gibsoni,no,1
Chlorostilbon_lucidus,no,1
Chlorostilbon_maugaeus,yes,1
Chlorostilbon_melanorhynchus,no,1
Chlorostilbon_mellisugus,no,1
Chlorostilbon_olivaresi,no,1
Chlorostilbon_poortmani,no,1
Chlorostilbon_ricordii,yes,1
Chlorostilbon_russatus,no,1
Chlorostilbon_stenurus,no,1
Chlorostilbon_swainsonii,yes,1
Chrysolampis_mosquitus,no,1
Chrysuronia_oenone,no,1
Clytolaema_rubricauda,no,1
Coeligena_bonapartei,no,1
Coeligena_coeligena,no,1
Coeligena_helianthea,no,1
Coeligena_iris,no,1
Coeligena_lutetiae,no,1
Coeligena_orina,no,1
Coeligena_phalerata,no,1
Coeligena_prunellei,no,1
Coeligena_torquata,no,1
Coeligena_violifer,no,1
Coeligena_wilsoni,no,1
Colibri_coruscans,no,1
Colibri_delphinae,no,1
Colibri_serrirostris,no,1
Colibri_thalassinus,no,1
Cyanophaia_bicolor,yes,1
Cynanthus_latirostris,no,1
Cynanthus_sordidus,no,1
Damophila_julie,no,1
Discosura_conversii,no,1
Discosura_langsdorffi,no,1
Discosura_letitiae,no,1
Discosura_longicaudus,no,1
Discosura_popelairii,no,1
Doricha_eliza,no,1
Doricha_enicura,no,1
Doryfera_johannae,no,1
Doryfera_ludovicae,no,1
Elvira_chionura,no,1
Elvira_cupreiceps,no,1
Ensifera_ensifera,no,1
Eriocnemis_alinae,no,1
Eriocnemis_cupreoventris,no,1
Eriocnemis_derbyi,no,1
Eriocnemis_glaucopoides,no,1
Eriocnemis_godini,no,1
Eriocnemis_isabellae,no,1
Eriocnemis_luciani,no,1
Eriocnemis_mirabilis,no,1
Eriocnemis_mosquera,no,1
Eriocnemis_nigrivestis,no,1
Eriocnemis_vestita,no,1
Eugenes_fulgens,no,1
Eulampis_holosericeus,yes,1
Eulampis_jugularis,yes,1
Eulidia_yarrellii,no,1
Eupetomena_macroura,no,1
Eupherusa_cyanophrys,no,1
Eupherusa_eximia,no,1
Eupherusa_nigriventris,no,1
Eupherusa_poliocerca,no,1
Eutoxeres_aquila,no,1
Eutoxeres_condamini,no,1
Florisuga_fusca,no,1
Florisuga_mellivora,no,1
Glaucis_aeneus,no,1
Glaucis_dohrnii,no,1
Glaucis_hirsutus,no,1
Goethalsia_bella,no,1
Goldmania_violiceps,no,1
Haplophaedia_assimilis,no,1
Haplophaedia_aureliae,no,1
Haplophaedia_lugens,no,1
Heliactin_bilophus,no,1
Heliangelus_amethysticollis,no,1
Heliangelus_exortis,no,1
Heliangelus_mavors,no,1
Heliangelus_micraster,no,1
Heliangelus_regalis,no,1
Heliangelus_strophianus,no,1
Heliangelus_viola,no,1
Heliodoxa_aurescens,no,1
Heliodoxa_branickii,no,1
Heliodoxa_gularis,no,1
Heliodoxa_imperatrix,no,1
Heliodoxa_jacula,no,1
Heliodoxa_leadbeateri,no,1
Heliodoxa_rubinoides,no,1
Heliodoxa_schreibersii,no,1
Heliodoxa_xanthogonys,no,1
Heliomaster_constantii,no,1
Heliomaster_furcifer,no,1
Heliomaster_longirostris,no,1
Heliomaster_squamosus,no,1
Heliothryx_auritus,no,1
Heliothryx_barroti,no,1
Hylocharis_chrysura,no,1
Hylocharis_cyanus,no,1
Hylocharis_eliciae,no,1
Hylocharis_grayi,no,1
Hylocharis_humboldtii,no,1
Hylocharis_leucotis,no,1
Hylocharis_sapphirina,no,1
Hylocharis_xantusii,no,1
Hylonympha_macrocerca,no,1
Klais_guimeti,no,1
Lafresnaya_lafresnayi,no,1
Lampornis_amethystinus,no,1
Lampornis_calolaemus,no,1
Lampornis_castaneoventris,no,1
Lampornis_clemenciae,no,1
Lampornis_hemileucus,no,1
Lampornis_sybillae,no,1
Lampornis_viridipallens,no,1
Lamprolaima_rhami,no,1
Lepidopyga_coeruleogularis,no,1
Lepidopyga_goudoti,no,1
Lepidopyga_lilliae,no,1
Lesbia_nuna,no,1
Lesbia_victoriae,no,1
Leucippus_baeri,no,1
Leucippus_chlorocercus,no,1
Leucippus_fallax,no,1
Leucippus_taczanowskii,no,1
Leucochloris_albicollis,no,1
Loddigesia_mirabilis,no,1
Lophornis_adorabilis,no,1
Lophornis_brachylophus,no,1
Lophornis_chalybeus,no,1
Lophornis_delattrei,no,1
Lophornis_gouldii,no,1
Lophornis_helenae,no,1
Lophornis_magnificus,no,1
Lophornis_ornatus,no,1
Lophornis_pavoninus,no,1
Lophornis_stictolophus,no,1
Mellisuga_helenae,yes,1
Mellisuga_minima,yes,1
Metallura_aeneocauda,no,1
Metallura_baroni,no,1
Metallura_eupogon,no,1
Metallura_iracunda,no,1
Metallura_odomae,no,1
Metallura_phoebe,no,1
Metallura_theresiae,no,1
Metallura_tyrianthina,no,1
Metallura_williami,no,1
Microchera_albocoronata,no,1
Microstilbon_burmeisteri,no,1
Myrmia_micrura,no,1
Myrtis_fanny,no,1
Ocreatus_underwoodii,no,1
Opisthoprora_euryptera,no,1
Oreonympha_nobilis,no,1
Oreotrochilus_adela,no,1
Oreotrochilus_chimborazo,no,1
Oreotrochilus_estella,no,1
Oreotrochilus_leucopleurus,no,1
Oreotrochilus_melanogaster,no,1
Orthorhyncus_cristatus,yes,1
Oxypogon_guerinii,no,1
Panterpe_insignis,no,1
Patagona_gigas,no,1
Phaeochroa_cuvierii,no,1
Phaethornis_anthophilus,no,1
Phaethornis_atrimentalis,no,1
Phaethornis_augusti,no,1
Phaethornis_bourcieri,no,1
Phaethornis_eurynome,no,1
Phaethornis_griseogularis,no,1
Phaethornis_guy,no,1
Phaethornis_hispidus,no,1
Phaethornis_idaliae,no,1
Phaethornis_koepckeae,no,1
Phaethornis_longirostris,no,1
Phaethornis_longuemareus,no,1
Phaethornis_malaris,no,1
Phaethornis_nattereri,no,1
Phaethornis_philippii,no,1
