Species3,Family3,Order3,Avibase_id,Inferred,MainDiet,MainNiche,Pa,Pt,Ne,Se,Fr,In,Ap,Vt,Ca,PAG,PAS,PAD,PEL,PGR,NAE,NGL,SEL,SGR,FAE,FGL,FGR,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APA,APL,APP,APG,APS,APD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR
Accipiter virgatus,Accipitridae,Accipitriformes,AVIBASE-A59A2D4D,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0
Aegypius monachus,Accipitridae,Accipitriformes,AVIBASE-158BDC90,0,Ca,CGR,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Aquila adalberti,Accipitridae,Accipitriformes,AVIBASE-69742EE4,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0
Aquila africanus,Accipitridae,Accipitriformes,AVIBASE-51FD3E3C,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0
Aquila audax,Accipitridae,Accipitriformes,AVIBASE-5E574D70,0,Vt,Generalist,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,32,0,0,0,20
Aquila chrysaetos,Accipitridae,Accipitriformes,AVIBASE-5F8E7CA8,0,Vt,VAS,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,10
Aquila clanga,Accipitridae,Accipitriformes,AVIBASE-BAC4CA22,0,Vt,Generalist,0,0,0,0,0,10,20,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,0,16,0,0,0,0,30,18,0,12,0,10
Aquila fasciatus,Accipitridae,Accipitriformes,AVIBASE-05F11441,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0,0
Aquila gurneyi,Accipitridae,Accipitriformes,AVIBASE-22A50A54,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Aquila hastata,Accipitridae,Accipitriformes,AVIBASE-3A985C9F,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0
