index,Family,Order,Eigenvalues,Island_Endemicity,Flight_Ability,seabird,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,Centroid.Latitude,Centroid.Longitude,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,In2,In2_pred,In2_prob,Ap2,Ap2_pred,Ap2_prob,Vt2,Vt2_pred,Vt2_prob,Ne2,Ne2_pred,Ne2_prob,Fr2,Fr2_pred,Fr2_prob,Se2,Se2_pred,Se2_prob,Pa2,Pa2_pred,Pa2_prob,Pl2,Pl2_pred,Pl2_prob
531,9,1,-0.262542194347956,1,0.0,0,4.471638793363569,4.116921116401006,3.5313480661272005,3.3600281046240843,4.404521712501253,5.9207201425822245,4.742930125692577,5.288771953704505,9.039089310496072,22.45,-161.14,-137.054660917818,-90.7169198724197,-0.539630395152096,6.40109722754912,43.6083640475634,-14.9020068772905,22.420537359499,-25.5827577952285,-0.770633804264587,0.155603810742258,-0.0153551907439616,-0.196042463853279,,0.0,0.999,,28.57,0.378,,0.0,0.951,,0.0,0.998,,0.0,0.823,,0.0,0.767,,71.43,0.731,,0.0,0.593
532,177,25,-1.48299516580023,0,1.0,0,4.975422538340511,4.714652196605089,2.700018029404946,2.9428587839469227,4.3945726038424,5.931369472556642,4.9427846271880815,5.178125181219631,7.311218384419629,-12.19,-58.14,-62.4508318210441,29.7268519908933,7.6076897128605,-29.9098970376455,7.74620182531165,-10.5569244951615,-5.19046928600413,14.169934323873,-0.970740084016944,-3.8145487319371,1.00168589341843,-0.457218637192159,,50.0,0.383,,40.0,0.706,,10.0,0.661,,0.0,0.999,,0.0,0.995,,0.0,0.962,,0.0,0.999,,0.0,0.978
533,175,8,-2.31165209808867,0,1.0,0,2.7245795030534206,2.167910189667444,1.747459210331475,1.8500283773520307,2.9750192319564492,4.763455164953805,3.9996675152801924,4.014940539434832,4.249066507417651,-12.19,-58.14,-62.5763839265185,34.7629402516172,9.28121822878097,-40.8647237755483,12.05968620013,-16.8812900975909,-6.88814118877214,21.0434821422503,-4.49725184958496,23.2825369455773,-0.391293222466466,0.11455702887004,,,0.963,,,1.0,,,0.997,,,0.998,,,0.991,,,0.783,,,1.0,,,0.864
534,177,25,-1.50923940704127,1,1.0,0,4.9702298794612165,4.734618253174978,2.7593768282675506,3.0652583362026014,4.43604122298012,5.812487391564417,4.857872539543846,4.825108606353353,7.036324379776845,-20.14,59.62,-62.4201068162775,29.8674631674961,7.62929927393353,-30.028418175887,7.79019589842815,-10.6142720968494,-5.18469628198661,14.1940395931656,-0.980517026671312,-3.8394716521692,1.005639258465,-0.457577011992243,100.0,0.0,0.618,0.0,90.0,0.461,0.0,10.0,0.511,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,0.934,0.0,0.0,1.0,0.0,0.0,0.919
535,2,0,-800.429847097407,1,1.0,0,3.945264339207948,3.369362658142137,2.7738379416402132,3.139399623366404,4.408303357752101,6.104480683576686,5.073923033332174,5.595677455551089,8.895766604056085,23.35,-75.15,-60.4464500745676,45.5007832971132,19.6526569735034,32.243727828394,-1.19686510429509,-3.63052537306819,-1.6442727799481,2.53381392565401,69.1637556279391,4.14252539016678,-28.2371207716212,22.2278887970043,,0.0,0.904,,0.0,0.476,,100.0,0.771,,0.0,0.999,,0.0,0.988,,0.0,0.996,,0.0,1.0,,0.0,1.0
536,7,12,-226.006563736004,1,1.0,0,3.8155121050473024,3.6136169696133895,2.6602595372658615,2.5416019934645457,2.8791984572980396,4.553876891600541,2.995732273553991,4.2626798770413155,3.987501466604052,15.99,145.81,-60.540927939955,46.9034119083291,21.586426922196,40.530016833241,-1.62988737872677,-6.90836726060708,-2.13763997116964,3.71649551230234,-3.99284316362094,-0.408631084109031,5.20680197191587,-4.48769516831229,80.0,70.0,0.513,0.0,0.0,0.551,20.0,30.0,0.302,0.0,0.0,0.999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
537,46,11,-0.955065094999267,1,1.0,0,3.2339614622862416,2.559550192783766,1.715598108262491,1.8870696490323797,3.4547381485901854,5.169005630067697,3.9543159176183975,4.7835673858898895,7.246724395801937,-21.178986,-175.19824,-98.6391637667588,-26.5091518354236,4.77017037362472,-21.3530603233099,-84.3252448905188,-25.1030254239077,26.8127907437734,-25.3326814979992,-2.31143355102487,0.634698253728956,-1.09626693033801,0.3850948639008,,0.0,0.892,,0.0,0.999,,0.0,0.988,,0.0,0.988,,100.0,0.537,,0.0,0.652,,0.0,1.0,,0.0,0.813
538,0,24,-3.9599635715938,1,0.0,0,2.761906873892921,2.2300144001592104,1.3962446919730587,1.451613827240533,3.1126260250254902,3.9092190780954117,1.9080599249242156,3.3109079103146946,3.0969341540629585,-41.43,174.07,-21.1064309874494,6.08617614006316,-11.5242948220954,-1.11428445193318,-0.742285290276448,1.63556547952129,-3.88371157767331,2.01602959942023,1.21762309030025,-0.560510796181777,2.55117429449021,1.10593937561021,,80.0,0.795,,0.0,1.0,,0.0,0.988,,0.0,0.996,,10.0,0.517,,10.0,0.726,,0.0,1.0,,0.0,0.994
539,151,18,-3.18508695596083,1,0.0,0,3.217675104291682,2.590767040487478,1.80005827204275,2.203869120054888,3.803992261214441,4.972587226458726,3.358289880650879,4.22683374526818,5.638354669333745,-41.43,174.07,-62.1293627618853,39.0269752852543,10.2401719370365,-46.4507651382149,14.097028201964,-19.691927117896,-7.31586633816458,23.439752981952,-4.89382583326932,-55.7087412988414,-7.60440280138918,2.48147028344502,0.0,16.669999999999998,0.468,0.0,0.0,0.695,0.0,0.0,0.807,0.0,0.0,0.999,0.0,0.0,0.757,50.0,0.0,0.432,0.0,83.33,0.954,50.0,0.0,0.639
540,2,0,-490.744684304756,1,1.0,0,4.288402532641213,3.8353579204926604,3.12982600803469,3.5010427166318716,4.684258592307055,6.358084871392579,5.465736769089885,5.612032616046633,7.961896562470033,-8.53635,119.394501,-60.670818426306,42.5960804718697,18.3641050620607,29.4865300329522,-1.20075680167978,-3.16779098759045,-1.83534612553713,2.77675970418909,60.0042789323461,3.42329450140243,-23.2311779071677,18.2586329140818,,0.0,0.995,,0.0,0.978,,100.0,0.987,,0.0,0.999,,0.0,0.996,,0.0,0.999,,0.0,1.0,,0.0,1.0
